,winnor_season_winning_pct,winnor_season_point_score,winnor_season_point_allow,winnor_end_streak
0,.857,335,163,W5
1,.692,332,209,L2
2,.786,419,280,W4
3,.786,359,177,L1
4,.846,321,234,W4
5,.786,406,222,W7
6,1.000,385,171,W14
7,.857,343,150,W1
8,.750,305,189,W2
9,.857,373,162,L1 
10,.929,350,237,W10
11,.857,345,212,W4
12,.875,356,195,W5
13,.75,416,262,W1 
14,.688,364,306,W2
15,.857,357,250,W5
16,.889,190,128,W4
17,.750,442,338,W1
18,.938,475,227,W9
19,.938,456,198,W3
20,.875,371,236,W9
21,.733,379,285,W1
22,.625,369,294,L1
23,.875,442,253,W5
24,.813,335,211,W2
25,.875,485,224,L1
26,.813,409,243,W2
27,.750,376,229,W5
28,.813,505,296,L1
29,.75,435,291,W2
30,.813,456,210,W5
31,.750,472,287,W1
32,.875,501,309,W1
33,.813,526,242,L1
34,.750,333,165,W7
35,.688,371,272,W6
36,.750,346,196,W1
37,.875,348,238,W12
38,.875,437,260,W2
39,.688,389,258,W4
40,.750,427,360,W1
41,.625,373,351,L1
42,.750,347,223,W1
43,.813,510,341,L3
44,.625,388,240,W2
45,.563,394,400,W2
46,.625,398,344,L1
47,.813,417,231,W1
48,.750,468,313,L1
49,.750,355,296,W2
50,.875,441,250,W7
51,.813,457,295,L1
52,.688,436,325,W2
53,.75,451,308,W6
