,0
0,https://en.wikipedia.org/wiki/1966_Kansas_City_Chiefs_season
1,https://en.wikipedia.org/wiki/1967_Oakland_Raiders_season
2,https://en.wikipedia.org/wiki/1968_Baltimore_Colts_season
3,https://en.wikipedia.org/wiki/1969_Minnesota_Vikings_season
4,https://en.wikipedia.org/wiki/1970_Dallas_Cowboys_season
5,https://en.wikipedia.org/wiki/1971_Miami_Dolphins_season
6,https://en.wikipedia.org/wiki/1972_Washington_Redskins_season
7,https://en.wikipedia.org/wiki/1973_Minnesota_Vikings_season
8,https://en.wikipedia.org/wiki/1974_Minnesota_Vikings_season
9,https://en.wikipedia.org/wiki/1975_Dallas_Cowboys_season
10,https://en.wikipedia.org/wiki/1976_Minnesota_Vikings_season
11,https://en.wikipedia.org/wiki/1977_Denver_Broncos_season
12,https://en.wikipedia.org/wiki/1978_Dallas_Cowboys_season
13,https://en.wikipedia.org/wiki/1979_Los_Angeles_Rams_season
14,https://en.wikipedia.org/wiki/1980_Philadelphia_Eagles_season
15,https://en.wikipedia.org/wiki/1981_Cincinnati_Bengals_season
16,https://en.wikipedia.org/wiki/1982_Miami_Dolphins_season
17,https://en.wikipedia.org/wiki/1983_Washington_Redskins_season
18,https://en.wikipedia.org/wiki/1984_Miami_Dolphins_season
19,https://en.wikipedia.org/wiki/1985_New_England_Patriots_season
20,https://en.wikipedia.org/wiki/1986_Denver_Broncos_season
21,https://en.wikipedia.org/wiki/1987_Denver_Broncos_season
22,https://en.wikipedia.org/wiki/1988_Cincinnati_Bengals_season
23,https://en.wikipedia.org/wiki/1989_Denver_Broncos_season
24,https://en.wikipedia.org/wiki/1990_Buffalo_Bills_season
25,https://en.wikipedia.org/wiki/1991_Buffalo_Bills_season
26,https://en.wikipedia.org/wiki/1992_Buffalo_Bills_season
27,https://en.wikipedia.org/wiki/1993_Buffalo_Bills_season
28,https://en.wikipedia.org/wiki/1994_San_Diego_Chargers_season
29,https://en.wikipedia.org/wiki/1995_Pittsburgh_Steelers_season
30,https://en.wikipedia.org/wiki/1996_New_England_Patriots_season
31,https://en.wikipedia.org/wiki/1997_Green_Bay_Packers_season
32,https://en.wikipedia.org/wiki/1998_Atlanta_Falcons_season
33,https://en.wikipedia.org/wiki/1999_Tennessee_Titans_season
34,https://en.wikipedia.org/wiki/2000_New_York_Giants_season
35,https://en.wikipedia.org/wiki/_Louis_Rams_season
36,https://en.wikipedia.org/wiki/2002_Oakland_Raiders_season
37,https://en.wikipedia.org/wiki/2003_Carolina_Panthers_season
38,https://en.wikipedia.org/wiki/2004_Philadelphia_Eagles_season
39,https://en.wikipedia.org/wiki/2005_Seattle_Seahawks_season
40,https://en.wikipedia.org/wiki/2006_Chicago_Bears_season
41,https://en.wikipedia.org/wiki/2007_New_England_Patriots_season
42,https://en.wikipedia.org/wiki/2008_Arizona_Cardinals_season
43,https://en.wikipedia.org/wiki/2009_Indianapolis_Colts_season
44,https://en.wikipedia.org/wiki/2010_Pittsburgh_Steelers_season
45,https://en.wikipedia.org/wiki/2011_New_England_Patriots_season
46,https://en.wikipedia.org/wiki/2012_San_Francisco_49ers_season
47,https://en.wikipedia.org/wiki/2013_Denver_Broncos_season
48,https://en.wikipedia.org/wiki/2014_Seattle_Seahawks_season
49,https://en.wikipedia.org/wiki/2015_Carolina_Panthers_season
50,https://en.wikipedia.org/wiki/2016_Atlanta_Falcons_season
51,https://en.wikipedia.org/wiki/2017_New_England_Patriots_season
52,https://en.wikipedia.org/wiki/2018_Los_Angeles_Rams_season
53,https://en.wikipedia.org/wiki/2019_San_Francisco_49ers_season
