,Average Viewers,Total Viewers,TV_rating,TV_share,30-sec Ads cost
0,25590000.0,37750000.0,33.0,40.0,40000.0
1,39120000.0,51300000.0,36.8,68.0,54500.0
2,41660000.0,54500000.0,36.0,70.0,55000.0
3,44270000.0,59200000.0,39.4,69.0,78200.0
4,46040000.0,58500000.0,39.9,75.0,72500.0
5,56640000.0,67300000.0,44.2,74.0,86100.0
6,53320000.0,67700000.0,42.7,72.0,88100.0
7,51700000.0,63200000.0,41.6,73.0,103500.0
8,56050000.0,71300000.0,42.4,72.0,107000.0
9,57710000.0,73300000.0,42.3,78.0,110000.0
10,62050000.0,81900000.0,44.4,73.0,125000.0
11,78940000.0,102010000.0,47.2,67.0,162300.0
12,74740000.0,96630000.0,47.1,74.0,185000.0
13,76240000.0,97800000.0,46.3,67.0,222000.0
14,68290000.0,94120000.0,44.4,63.0,275000.0
15,85240000.0,110230000.0,49.1,73.0,324300.0
16,81770000.0,109040000.0,48.6,69.0,400000.0
17,77620000.0,105200000.0,46.4,71.0,368200.0
18,85530000.0,115936000.0,46.4,63.0,525000.0
19,92570000.0,127055000.0,48.3,70.0,550000.0
20,87190000.0,119700000.0,45.8,66.0,600000.0
21,80140000.0,114600000.0,41.9,62.0,645000.0
22,81590000.0,110800000.0,43.5,68.0,675000.0
23,73852000.0,109000000.0,39.0,63.0,700400.0
24,79510000.0,112100000.0,41.9,63.0,800000.0
25,79590000.0,119680000.0,40.3,61.0,850000.0
26,90990000.0,133400000.0,45.1,66.0,850000.0
27,134800000.0,42860000.0,45.5,66.0,900000.0
28,83420000.0,125216000.0,41.3,62.0,1150000.0
29,94080000.0,138488000.0,46.0,68.0,1085000.0
30,87870000.0,128900000.0,43.3,65.0,1200000.0
31,90000000.0,133400000.0,44.5,67.0,1291100.0
32,83720000.0,127500000.0,40.2,61.0,1600000.0
33,88465000.0,130744800.0,43.3,63.0,2100000.0
34,84335000.0,131200000.0,40.4,61.0,2200000.0
35,86801000.0,131700000.0,40.4,61.0,2200000.0
36,88637000.0,138900000.0,40.7,61.0,2200000.0
37,89795000.0,144400000.0,41.4,63.0,2302200.0
38,86072000.0,133700000.0,41.1,62.0,2400000.0
39,90745000.0,141400000.0,41.6,62.0,2500000.0
40,93184000.0,139770000.0,42.6,64.0,2385365.0
41,97448000.0,148300000.0,43.1,65.0,2699963.0
42,98732000.0,151600000.0,42.0,64.0,3000000.0
43,106476000.0,153400000.0,45.0,68.0,2800000.0
44,111041000.0,162900000.0,46.0,69.0,2948649.0
45,111346000.0,159200000.0,47.0,71.0,3442752.0
46,108693000.0,164100000.0,46.4,69.0,3765130.0
47,112191000.0,0.0,46.7,69.0,4084864.0
48,114442000.0,161300000.0,47.5,71.0,4283129.0
49,111864000.0,167000000.0,46.6,72.0,4800000.0
50,111319000.0,172000000.0,45.3,70.0,5399873.0
51,103471000.0,0.0,43.1,68.0,5235379.0
52,98477000.0,149000000.0,41.1,67.0,5199916.0
53,100446000.0,148500000.0,41.6,69.0,5600000.0
